"Statistical unit","Unit of measure","Level of education","Orientation","Sex","Age","Grade","Type of institution","Level of educational attainment","School subject","Wealth quintile","Infrastructure","Location","Type of education","Socioeconomic background","Source of funding","Funding flow","Reference area","Time Period","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_PUB:Public institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","ELEC:Electricity","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_PUB:_Z:_T:_Z:ELEC:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","99.39065",""
"NERA:Adjusted net enrolment rate","PT:Percentage","L1:Primary education","_T:Total","F:Female","UNDER1_AGE:One year younger than official entry age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","NERA:PT:L1:_T:F:UNDER1_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","87.21841","87.44704","80.57978","76.25638","79.95140","76.41216","79.79403","89.65966","92.54340","85.32486",""
"STU:Students","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","RUR:Rural","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:RUR:_T:_T:_Z:_Z:VE","","","13.61000","","","","","","","",""
"CR:Completion rate","SESPI:Socioeconomic status parity index","L3:Upper secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPI:L3:_T:M:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.55357","0.50013","0.63902","0.55500","0.65723","0.60841","0.68645","","","",""
"STU_LANG_TEST:Students who spoke the language of the test at home","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU_LANG_TEST:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","41.74000","","","","","","","",""
"CR:Completion rate","SESPI:Socioeconomic status parity index","L1:Primary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPI:L1:_T:F:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.93478","0.92971","0.92475","0.95538","0.94607","0.96307","0.93606","","","",""
"NERA:Adjusted net enrolment rate","PT:Percentage","L1:Primary education","_T:Total","M:Male","UNDER1_AGE:One year younger than official entry age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","NERA:PT:L1:_T:M:UNDER1_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","87.05877","86.30045","75.93767","70.19246","74.06970","76.34987","79.13673","89.19616","92.36391","84.86801",""
"STU_NON_NATIVE:Students who have an immigrant background","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU_NON_NATIVE:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","63.94000","","","","","","","",""
"SCH:School","PT:Percentage","L2_3:Secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","COMP_PP:Computers for pedagogical purposes","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L2_3:_T:_T:_T:_T:INST_T:_Z:_T:_Z:COMP_PP:_T:_T:_T:_Z:_Z:VE","","","","27.05760","","","","","","",""
"STU_NON_LANG_TEST:Students who did not speak the language of the test at home","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU_NON_LANG_TEST:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","61.22000","","","","","","","",""
"GECER:Gross early childhood enrolment ratio","PT:Percentage","L02:Pre-primary education","_T:Total","M:Male","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GECER:PT:L02:_T:M:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","36.25879","40.62748","47.38751","41.83566","42.37407","42.79689","44.76427","43.23037","44.63152","40.95835",""
"CR:Completion rate","SESPI:Socioeconomic status parity index","L2:Lower secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPI:L2:_T:M:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.69128","0.73399","0.77059","0.71271","0.77807","0.70181","0.74319","","","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_PUB:Public institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","ADAPT_INFR_MAT_DIS:Adapted infrastructure and materials for students with disabilities","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_PUB:_Z:_T:_Z:ADAPT_INFR_MAT_DIS:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","9.41442",""
"CR:Completion rate","SESPI:Socioeconomic status parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPI:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.90987","0.89418","0.91480","0.91951","0.93108","0.93817","0.92298","","","",""
"GER:Gross enrolment ratio","GPI:Gender parity index","L5T8:Tertiary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GER:GPI:L5T8:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","1.68973","","","","","","","","",""
"CR:Completion rate","SESPI:Socioeconomic status parity index","L1:Primary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPI:L1:_T:M:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.88427","0.85699","0.90271","0.88321","0.91329","0.91262","0.90681","","","",""
"GER:Gross enrolment ratio","PT:Percentage","L0:Early childhood education","_T:Total","F:Female","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GER:PT:L0:_T:F:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","49.44744","49.89687","53.29740","55.41869","53.50470","51.16685","54.43564","52.88747","53.97947","50.23148",""
"QUTP:Percentage of qualified teachers","PT:Percentage","L4:Post-secondary non-tertiary education","_T:Total","M:Male","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","QUTP:PT:L4:_T:M:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","","","","","","0","0","",""
"CR:Completion rate","SESPI:Socioeconomic status parity index","L2:Lower secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPI:L2:_T:F:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.76759","0.77619","0.84159","0.75909","0.81844","0.79096","0.83328","","","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L1T8:At least completed primary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:M:Y_GE25:_Z:_Z:L1T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","80.42030","81.57771","81.89068","","","","","","86.72912","",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y_GE15:15 years and over","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:M:Y_GE15:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","95.38173","","95.67537","","94.50232","","","","96.65108","97.03911",""
"CR:Completion rate","SESPI:Socioeconomic status parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPI:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.74092","0.76631","0.82158","0.74461","0.80823","0.75740","0.80032","","","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_PUB:Public institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","COMP_PP:Computers for pedagogical purposes","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_PUB:_Z:_T:_Z:COMP_PP:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","25.15386",""
"LR:Literacy rate","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y15T24:15-24 years","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:GPI:_Z:_Z:_T:Y15T24:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","1.00880","","1.00545","","1.01390","","","","1.00613","1.00661",""
"COMP_EDU:Compulsory education","YR:Years","L02T3:Pre-primary education to secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","COMP_EDU:YR:L02T3:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","14","14","14","14","14","14","14","14","14","14",""
"GER:Gross enrolment ratio","PT:Percentage","L0:Early childhood education","_T:Total","M:Male","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GER:PT:L0:_T:M:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","49.35252","49.55984","52.05389","51.48366","49.86172","50.82893","54.12092","52.65364","53.83793","50.01495",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:F:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","83.86000","85.95000","87.98000","90.68000","88.16000","89.73000","92.33000","","","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:M:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","71.12000","77.16000","74.27000","77.46000","79.12000","77.99000","78.52000","","","",""
"CR:Completion rate","SESPIA:Adjusted SES parity index","L1:Primary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPIA:L1:_T:M:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.88427","0.85699","0.90271","0.88321","0.91329","0.91262","0.90681","","","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L6T8:At least completed bachelor's or equivalent level","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:F:Y_GE25:_Z:_Z:L6T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","","","","","22.19852","","","","26.00358","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L2T8:At least completed lower secondary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:M:Y_GE25:_Z:_Z:L2T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","48.66802","49.94374","50.89513","","62.61237","","","","67.05736","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L3T8:At least completed upper secondary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:F:Y_GE25:_Z:_Z:L3T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","42.65915","44.66506","46.46691","","","","","","59.69338","",""
"TRTP:Percentage of trained teachers","PT:Percentage","L4:Post-secondary non-tertiary education","_T:Total","F:Female","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","TRTP:PT:L4:_T:F:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","0","0","0","","","","0","0","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L3:Upper secondary education","_T:Total","F:Female","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L3:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","30.58207","27.99429","26.68358","25.88025","22.84011","18.92960","18.10769","24.23426","27.75606","29.61277",""
"FREE_EDU:Free education","YR:Years","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","FREE_EDU:YR:L1:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","6","6","6","6","6","6","6","6","6","6","6"
"ROFST:Rate of out-of-school children","PT:Percentage","L2_3:Secondary education","_T:Total","M:Male","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L2_3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","20.89334","20.40547","18.97040","19.63344","19.27964","18.22660","16.59540","18.38830","18.61148","20.64429",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:M:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","51.20000","54.06000","57.60000","61.04000","63.66000","65.70000","67.49000","","","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L2_3:Secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L2_3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","18.55484","18.41612","17.00204","17.65991","17.19203","15.15902","13.43754","16.15829","17.55586","19.53127",""
"GECER:Gross early childhood enrolment ratio","PT:Percentage","L01:Early childhood educational development programmes","_T:Total","F:Female","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GECER:PT:L01:_T:F:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","13.07914","8.93196","9.65702","10.45848","8.14539","7.78945","9.32522","9.20471","8.98607","8.84094",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","PT:Percentage","L2:Lower secondary education","_T:Total","M:Male","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:PT:L2:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","6.15000","5.95000","6.58000","6.02000","4.95000","5.41000","5.94000","","","",""
"CR:Completion rate","SESPIA:Adjusted SES parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.90987","0.89418","0.91480","0.91951","0.93108","0.93817","0.92298","","","",""
"ADMIN:Administration","NB:Number","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ADMIN:NB:L2:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","","","","","","","1","",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE15:15 years and over","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:_T:Y_GE15:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","95.15464","","95.51199","","94.77022","","","","96.60522","97.12709",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","GPIA:Adjusted gender parity index","L1:Primary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:GPIA:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.91304","0.86957","1","0.90476","0.78261","0.72727","0.63636","","","",""
"STU:Students","GPI:Gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:GPI:L2:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","1.11249","","","","","","","",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y_GE15:15 years and over","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:F:Y_GE15:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","94.92964","","95.35040","","95.02888","","","","96.56007","97.21371",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L3T8:At least completed upper secondary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:_T:Y_GE25:_Z:_Z:L3T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","39.78274","41.44366","42.98771","","","","","","55.79327","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:F:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","67.59000","68.61000","72.58000","74.41000","74.95000","73.32000","75.64000","","","",""
"ADMIN:Administration","NB:Number","L1:Primary education","_T:Total","_T:Total","_T:Total","G2_3:Grade 2 or 3","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ADMIN:NB:L1:_T:_T:_T:G2_3:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","","","","","","","1","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","76.80000","81.06000","80.37000","82.97000","83.05000","83.19000","83.86000","","","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_PUB:Public institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","IMPR_DWATER_AVAIL:Improved drinking water source with drinking water available","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_PUB:_Z:_T:_Z:IMPR_DWATER_AVAIL:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","97.04467",""
